"Vibrant Jade Plant","Succulents","A poisonous rare plant known for its vibrant appearance
    and its difficult care. Ideal for spaces with no sunlight, the Vibrant Jade Plant  
    requires maximal watering, perfect for some plant lovers.","/pixel_plants/TREE 11_SANDY GREEN.png","94"
"Elegant Basil","Herbs","An effervescent exotic plant known for its elegant appearance
    and its difficult care. Ideal for spaces with indirect sunlight, the Elegant Basil  
    requires regular watering, perfect for all plant lovers.","/pixel_plants/Flower Pot 5 - PURPLE.png","35"
"Bold Panda Plant","Succulents","A stunning native plant known for its bold appearance
    and its low-maintenance care. Ideal for spaces with direct sunlight, the Bold Panda Plant  
    requires maximal watering, perfect for plenty of plant lovers.","/pixel_plants/Flower 3 - RED.png","40"
"Royal Strawberry","Fruits and Vegetables","A chicken-friendly native plant known for its royal appearance
    and its labor-intensive care. Ideal for spaces with direct sunlight, the Royal Strawberry  
    requires minimal watering, perfect for plenty of plant lovers.","/pixel_plants/TREE 2_YELLOWISH GREEN.png","75"
"Medicinal Potato","Fruits and Vegetables","A delicious exotic plant known for its medicinal appearance
    and its effortless care. Ideal for spaces with direct sunlight, the Medicinal Potato  
    requires regular watering, perfect for all plant lovers.","/pixel_plants/Bush 1 - GREEN 2.png","75"
"Silver Ghost Plant","Succulents","A perennial tropical plant known for its silver appearance
    and its effortless care. Ideal for spaces with indirect sunlight, the Silver Ghost Plant  
    requires maximal watering, perfect for a select few plant lovers.","/pixel_plants/TREE 14_GREEN.png","11"
"Trailing Jade Plant","Succulents","A delicious exotic plant known for its trailing appearance
    and its effortless care. Ideal for spaces with full sunlight, the Trailing Jade Plant  
    requires moderate watering, perfect for plenty of plant lovers.","/pixel_plants/TREE 11_GREEN.png","94"
"Miniature Spinach","Fruits and Vegetables","An effervescent native plant known for its miniature appearance
    and its difficult care. Ideal for spaces with low sunlight, the Miniature Spinach  
    requires maximal watering, perfect for plenty of plant lovers.","/pixel_plants/TREE 14_TEAL.png","54"
"Shady Potato","Fruits and Vegetables","A drought-resistant tropical plant known for its shady appearance
    and its labor-intensive care. Ideal for spaces with direct sunlight, the Shady Potato  
    requires regular watering, perfect for many plant lovers.","/pixel_plants/TREE 1_SANDY GREEN.png","72"
"Verdant Basil","Herbs","A cat-friendly rare plant known for its verdant appearance
    and its simple care. Ideal for spaces with dappled sunlight, the Verdant Basil  
    requires moderate watering, perfect for many plant lovers.","/pixel_plants/TREE 5_YELLOWISH GREEN.png","5"
"Delicate Pepper","Fruits and Vegetables","A drought-resistant native plant known for its delicate appearance
    and its difficult care. Ideal for spaces with full sunlight, the Delicate Pepper  
    requires regular watering, perfect for all plant lovers.","/pixel_plants/Flower Pot 7 - YELLOW.png","1"
"Woody Peony","Flowers","An effervescent exotic plant known for its woody appearance
    and its low-maintenance care. Ideal for spaces with direct sunlight, the Woody Peony  
    requires moderate watering, perfect for plenty of plant lovers.","/pixel_plants/Flower 13 - COLORFUL.png","43"
"Tropical Chives","Herbs","An ephemeral rare plant known for its tropical appearance
    and its effortless care. Ideal for spaces with dappled sunlight, the Tropical Chives  
    requires regular watering, perfect for a select few plant lovers.","/pixel_plants/TREE 6_YELLOWISH GREEN.png","30"
"Wild Marigold","Flowers","A chicken-friendly common plant known for its wild appearance
    and its labor-intensive care. Ideal for spaces with dappled sunlight, the Wild Marigold  
    requires regular watering, perfect for many plant lovers.","/pixel_plants/Flower 7 - PINK 2.png","17"
"Spiky Basil","Herbs","A poisonous exotic plant known for its spiky appearance
    and its effortless care. Ideal for spaces with dappled sunlight, the Spiky Basil  
    requires regular watering, perfect for plenty of plant lovers.","/pixel_plants/Flower Pot 7 - WHITE.png","41"
"Evergreen Lily","Flowers","A hardy rare plant known for its evergreen appearance
    and its low-maintenance care. Ideal for spaces with dappled sunlight, the Evergreen Lily  
    requires regular watering, perfect for plenty of plant lovers.","/pixel_plants/Flower 5 - ORANGE.png","29"
"Sweet Jade Plant","Succulents","A tepid native plant known for its sweet appearance
    and its low-maintenance care. Ideal for spaces with full sunlight, the Sweet Jade Plant  
    requires regular watering, perfect for some plant lovers.","/pixel_plants/Bush 1 - TEAL 3.png","80"
"Giant Dill","Herbs","A dog-friendly common plant known for its giant appearance
    and its simple care. Ideal for spaces with dappled sunlight, the Giant Dill  
    requires maximal watering, perfect for some plant lovers.","/pixel_plants/Flower 9 - ORANGE.png","6"
"Glossy Strawberry","Fruits and Vegetables","A hardy exotic plant known for its glossy appearance
    and its difficult care. Ideal for spaces with dappled sunlight, the Glossy Strawberry  
    requires regular watering, perfect for some plant lovers.","/pixel_plants/TREE 1_YELLOWISH GREEN.png","56"
"Trailing Basil","Herbs","An effervescent rare plant known for its trailing appearance
    and its labor-intensive care. Ideal for spaces with direct sunlight, the Trailing Basil  
    requires moderate watering, perfect for plenty of plant lovers.","/pixel_plants/Flower 8 - RED.png","1"
"Classic Strawberry","Fruits and Vegetables","A poisonous common plant known for its classic appearance
    and its simple care. Ideal for spaces with full sunlight, the Classic Strawberry  
    requires minimal watering, perfect for plenty of plant lovers.","/pixel_plants/TREE 3_SANDY GREEN.png","80"
"Sweet Lily","Flowers","A stunning native plant known for its sweet appearance
    and its effortless care. Ideal for spaces with full sunlight, the Sweet Lily  
    requires moderate watering, perfect for many plant lovers.","/pixel_plants/Flower 9 - ORANGE.png","53"
"Textured Aloe Vera","Succulents","An allergenic rare plant known for its textured appearance
    and its low-maintenance care. Ideal for spaces with low sunlight, the Textured Aloe Vera  
    requires moderate watering, perfect for some plant lovers.","/pixel_plants/TREE 7_TEAL.png","28"
"Woody Rosemary","Herbs","An effervescent native plant known for its woody appearance
    and its effortless care. Ideal for spaces with dappled sunlight, the Woody Rosemary  
    requires maximal watering, perfect for plenty of plant lovers.","/pixel_plants/TREE 3_YELLOWISH GREEN.png","43"
"Verdant Rosemary","Herbs","An allergenic exotic plant known for its verdant appearance
    and its difficult care. Ideal for spaces with full sunlight, the Verdant Rosemary  
    requires maximal watering, perfect for a select few plant lovers.","/pixel_plants/Flower Pot 2 - YELLOW.png","29"
"Golden Tarragon","Herbs","A chicken-friendly native plant known for its golden appearance
    and its simple care. Ideal for spaces with full sunlight, the Golden Tarragon  
    requires maximal watering, perfect for all plant lovers.","/pixel_plants/Bush 1 - GREEN 2.png","54"
"Hardy Basil","Herbs","A delicious common plant known for its hardy appearance
    and its low-maintenance care. Ideal for spaces with indirect sunlight, the Hardy Basil  
    requires maximal watering, perfect for all plant lovers.","/pixel_plants/Flower 7 - BLUE.png","38"
"Giant Oregano","Herbs","An allergenic tropical plant known for its giant appearance
    and its difficult care. Ideal for spaces with direct sunlight, the Giant Oregano  
    requires moderate watering, perfect for some plant lovers.","/pixel_plants/TREE 13_TEAL.png","96"
"Sunny Chrysanthemum","Flowers","A dog-friendly native plant known for its sunny appearance
    and its labor-intensive care. Ideal for spaces with full sunlight, the Sunny Chrysanthemum  
    requires maximal watering, perfect for some plant lovers.","/pixel_plants/Flower 12 - RED.png","27"
"Hearty Parsley","Herbs","A cat-friendly exotic plant known for its hearty appearance
    and its simple care. Ideal for spaces with no sunlight, the Hearty Parsley  
    requires minimal watering, perfect for all plant lovers.","/pixel_plants/Flower 8 - ORANGE.png","90"
"Exotic Daffodil","Flowers","A hypoallergenic common plant known for its exotic appearance
    and its low-maintenance care. Ideal for spaces with indirect sunlight, the Exotic Daffodil  
    requires maximal watering, perfect for a select few plant lovers.","/pixel_plants/TREE 8_YELLOWISH GREEN.png","59"
"Budding Blueberry","Fruits and Vegetables","A perennial rare plant known for its budding appearance
    and its simple care. Ideal for spaces with indirect sunlight, the Budding Blueberry  
    requires regular watering, perfect for a select few plant lovers.","/pixel_plants/TREE 15_ORANGE.png","64"
"Fragrant Marigold","Flowers","A poisonous exotic plant known for its fragrant appearance
    and its low-maintenance care. Ideal for spaces with no sunlight, the Fragrant Marigold  
    requires regular watering, perfect for all plant lovers.","/pixel_plants/Flower 6 - BLUE.png","53"
"Compact Panda Plant","Succulents","An allergenic tropical plant known for its compact appearance
    and its labor-intensive care. Ideal for spaces with full sunlight, the Compact Panda Plant  
    requires regular watering, perfect for a select few plant lovers.","/pixel_plants/Flower 9 - YELLOW.png","3"
"Hardy Cilantro","Herbs","A tepid native plant known for its hardy appearance
    and its simple care. Ideal for spaces with indirect sunlight, the Hardy Cilantro  
    requires minimal watering, perfect for many plant lovers.","/pixel_plants/Flower 6 - ORANGE.png","16"
"Sweet Lemon","Fruits and Vegetables","A vivid rare plant known for its sweet appearance
    and its difficult care. Ideal for spaces with full sunlight, the Sweet Lemon  
    requires maximal watering, perfect for a select few plant lovers.","/pixel_plants/Flower 4 - PURPLE.png","8"
"Giant Christmas Cactus","Succulents","A delicate common plant known for its giant appearance
    and its simple care. Ideal for spaces with no sunlight, the Giant Christmas Cactus  
    requires moderate watering, perfect for plenty of plant lovers.","/pixel_plants/TREE 13_TEAL.png","55"
"Graceful Christmas Cactus","Succulents","A dog-friendly common plant known for its graceful appearance
    and its labor-intensive care. Ideal for spaces with dappled sunlight, the Graceful Christmas Cactus  
    requires moderate watering, perfect for many plant lovers.","/pixel_plants/TREE 4_ SANDY GREEN.png","5"
"Blooming Basil","Herbs","A delicious common plant known for its blooming appearance
    and its low-maintenance care. Ideal for spaces with dappled sunlight, the Blooming Basil  
    requires minimal watering, perfect for some plant lovers.","/pixel_plants/Flower Pot 1 - BLUE.png","84"
"Fresh Parsley","Herbs","A hardy native plant known for its fresh appearance
    and its difficult care. Ideal for spaces with indirect sunlight, the Fresh Parsley  
    requires maximal watering, perfect for some plant lovers.","/pixel_plants/TREE 12_GREEN.png","17"
"Soft Marigold","Flowers","A tepid tropical plant known for its soft appearance
    and its effortless care. Ideal for spaces with dappled sunlight, the Soft Marigold  
    requires moderate watering, perfect for some plant lovers.","/pixel_plants/TREE 5_YELLOWISH GREEN.png","41"
"Prickly Blueberry","Fruits and Vegetables","A tepid rare plant known for its prickly appearance
    and its difficult care. Ideal for spaces with direct sunlight, the Prickly Blueberry  
    requires regular watering, perfect for plenty of plant lovers.","/pixel_plants/Flower Pot 4 - WHITE.png","17"
"Cascading Tomato","Fruits and Vegetables","A herbaceous common plant known for its cascading appearance
    and its labor-intensive care. Ideal for spaces with full sunlight, the Cascading Tomato  
    requires maximal watering, perfect for some plant lovers.","/pixel_plants/Bush 1 (no flowers) - WARM GREEN.png","90"
"Elegant Christmas Cactus","Succulents","An effervescent common plant known for its elegant appearance
    and its effortless care. Ideal for spaces with indirect sunlight, the Elegant Christmas Cactus  
    requires moderate watering, perfect for plenty of plant lovers.","/pixel_plants/Flower Pot 2 - YELLOW.png","56"
"Delicate Jade Plant","Succulents","A hardy rare plant known for its delicate appearance
    and its low-maintenance care. Ideal for spaces with full sunlight, the Delicate Jade Plant  
    requires regular watering, perfect for all plant lovers.","/pixel_plants/TREE 4_GREEN.png","75"
"Medicinal Jade Plant","Succulents","An allergenic exotic plant known for its medicinal appearance
    and its difficult care. Ideal for spaces with low sunlight, the Medicinal Jade Plant  
    requires minimal watering, perfect for plenty of plant lovers.","/pixel_plants/Bush 1 - WARM GREEN 2.png","8"
"Hearty Aloe Vera","Succulents","An ephemeral tropical plant known for its hearty appearance
    and its simple care. Ideal for spaces with no sunlight, the Hearty Aloe Vera  
    requires minimal watering, perfect for some plant lovers.","/pixel_plants/Flower Pot 3 - RED 2.png","84"
"Verdant Cilantro","Herbs","A tepid exotic plant known for its verdant appearance
    and its labor-intensive care. Ideal for spaces with indirect sunlight, the Verdant Cilantro  
    requires minimal watering, perfect for plenty of plant lovers.","/pixel_plants/Bush 2 - ORANGE.png","84"
"Blooming String of Pearls","Succulents","A cat-friendly rare plant known for its blooming appearance
    and its simple care. Ideal for spaces with indirect sunlight, the Blooming String of Pearls  
    requires minimal watering, perfect for some plant lovers.","/pixel_plants/Flower Pot 6 - COLORFUL 2.png","94"
"Vibrant String of Dolphins","Succulents","An ephemeral exotic plant known for its vibrant appearance
    and its labor-intensive care. Ideal for spaces with low sunlight, the Vibrant String of Dolphins  
    requires maximal watering, perfect for all plant lovers.","/pixel_plants/Flower 4 - BLUE.png","89"
"Lush Cucumber","Fruits and Vegetables","A poisonous rare plant known for its lush appearance
    and its simple care. Ideal for spaces with direct sunlight, the Lush Cucumber  
    requires regular watering, perfect for all plant lovers.","/pixel_plants/Flower 2 - MAGENTA.png","94"
"Vibrant Sage","Herbs","A cat-friendly tropical plant known for its vibrant appearance
    and its difficult care. Ideal for spaces with no sunlight, the Vibrant Sage  
    requires minimal watering, perfect for all plant lovers.","/pixel_plants/Flower 1 - COLORFUL.png","95"
"Medicinal Mint","Herbs","A cat-friendly rare plant known for its medicinal appearance
    and its simple care. Ideal for spaces with direct sunlight, the Medicinal Mint  
    requires regular watering, perfect for plenty of plant lovers.","/pixel_plants/Flower 11 - PINK.png","26"
"Colorful Aloe Vera","Succulents","An annual exotic plant known for its colorful appearance
    and its simple care. Ideal for spaces with indirect sunlight, the Colorful Aloe Vera  
    requires minimal watering, perfect for plenty of plant lovers.","/pixel_plants/TREE 4_ SANDY GREEN.png","19"
"Delicate Mint","Herbs","A drought-resistant native plant known for its delicate appearance
    and its effortless care. Ideal for spaces with dappled sunlight, the Delicate Mint  
    requires maximal watering, perfect for all plant lovers.","/pixel_plants/TREE 10_GREEN.png","83"
"Giant Tomato","Fruits and Vegetables","An effervescent common plant known for its giant appearance
    and its effortless care. Ideal for spaces with no sunlight, the Giant Tomato  
    requires moderate watering, perfect for plenty of plant lovers.","/pixel_plants/Flower Pot 4 - COLORFUL.png","1"
"Lush Lemon","Fruits and Vegetables","An ephemeral tropical plant known for its lush appearance
    and its simple care. Ideal for spaces with dappled sunlight, the Lush Lemon  
    requires maximal watering, perfect for plenty of plant lovers.","/pixel_plants/Flower Pot 3 - PURPLE.png","27"
"Trailing Rosemary","Herbs","A drought-resistant rare plant known for its trailing appearance
    and its difficult care. Ideal for spaces with indirect sunlight, the Trailing Rosemary  
    requires minimal watering, perfect for all plant lovers.","/pixel_plants/Flower 12 - RED.png","96"
"Wild Oregano","Herbs","A tepid tropical plant known for its wild appearance
    and its difficult care. Ideal for spaces with no sunlight, the Wild Oregano  
    requires regular watering, perfect for all plant lovers.","/pixel_plants/Flower 6 - PINK.png","94"
"Bushy Mint","Herbs","A drought-resistant exotic plant known for its bushy appearance
    and its simple care. Ideal for spaces with full sunlight, the Bushy Mint  
    requires moderate watering, perfect for some plant lovers.","/pixel_plants/Flower 6 - PINK 2.png","17"
"Exotic Marigold","Flowers","A tepid exotic plant known for its exotic appearance
    and its simple care. Ideal for spaces with low sunlight, the Exotic Marigold  
    requires minimal watering, perfect for plenty of plant lovers.","/pixel_plants/Flower Pot 7 - COLORFUL.png","30"
"Cascading Rosemary","Herbs","A dog-friendly rare plant known for its cascading appearance
    and its simple care. Ideal for spaces with no sunlight, the Cascading Rosemary  
    requires regular watering, perfect for some plant lovers.","/pixel_plants/TREE 2_TEAL.png","28"
"Sunny Peony","Flowers","An allergenic tropical plant known for its sunny appearance
    and its labor-intensive care. Ideal for spaces with direct sunlight, the Sunny Peony  
    requires maximal watering, perfect for all plant lovers.","/pixel_plants/TREE 6_YELLOWISH GREEN.png","83"
"Leafy Apple","Fruits and Vegetables","A variegated tropical plant known for its leafy appearance
    and its low-maintenance care. Ideal for spaces with full sunlight, the Leafy Apple  
    requires moderate watering, perfect for all plant lovers.","/pixel_plants/Flower 3 - RED.png","94"
"Bulbous Crown of Thorns","Succulents","A drought-resistant rare plant known for its bulbous appearance
    and its difficult care. Ideal for spaces with indirect sunlight, the Bulbous Crown of Thorns  
    requires maximal watering, perfect for some plant lovers.","/pixel_plants/Flower Pot 2 - RED.png","64"
"Vibrant Peony","Flowers","A chicken-friendly common plant known for its vibrant appearance
    and its labor-intensive care. Ideal for spaces with full sunlight, the Vibrant Peony  
    requires maximal watering, perfect for all plant lovers.","/pixel_plants/Bush 1 - GREEN.png","4"
"Robust Tomato","Fruits and Vegetables","An ephemeral exotic plant known for its robust appearance
    and its low-maintenance care. Ideal for spaces with indirect sunlight, the Robust Tomato  
    requires minimal watering, perfect for many plant lovers.","/pixel_plants/Flower Pot 7 - COLORFUL.png","26"
"Sweet Panda Plant","Succulents","A drought-resistant common plant known for its sweet appearance
    and its difficult care. Ideal for spaces with full sunlight, the Sweet Panda Plant  
    requires regular watering, perfect for a select few plant lovers.","/pixel_plants/Flower 9 - RED.png","26"
"Trailing Tulip","Flowers","A cat-friendly tropical plant known for its trailing appearance
    and its labor-intensive care. Ideal for spaces with dappled sunlight, the Trailing Tulip  
    requires maximal watering, perfect for many plant lovers.","/pixel_plants/Flower 3 - PURPLE.png","11"
"Golden Mint","Herbs","An annual rare plant known for its golden appearance
    and its effortless care. Ideal for spaces with indirect sunlight, the Golden Mint  
    requires maximal watering, perfect for many plant lovers.","/pixel_plants/Flower Pot 1 - GREEN.png","28"
"Hearty Blueberry","Fruits and Vegetables","A delicious rare plant known for its hearty appearance
    and its simple care. Ideal for spaces with dappled sunlight, the Hearty Blueberry  
    requires maximal watering, perfect for some plant lovers.","/pixel_plants/Flower 1 - COLORFUL.png","38"
"Miniature Peony","Flowers","A drought-resistant native plant known for its miniature appearance
    and its difficult care. Ideal for spaces with indirect sunlight, the Miniature Peony  
    requires moderate watering, perfect for many plant lovers.","/pixel_plants/Flower 2 - TEAL.png","14"
"Trailing Christmas Cactus","Succulents","A stunning exotic plant known for its trailing appearance
    and its low-maintenance care. Ideal for spaces with direct sunlight, the Trailing Christmas Cactus  
    requires minimal watering, perfect for many plant lovers.","/pixel_plants/Bush 1 - GREEN 2.png","33"
"Frosty Rosemary","Herbs","A stunning rare plant known for its frosty appearance
    and its effortless care. Ideal for spaces with dappled sunlight, the Frosty Rosemary  
    requires regular watering, perfect for many plant lovers.","/pixel_plants/Flower Pot 7 - WHITE.png","95"
"Colorful Zebra Haworthia","Succulents","A tepid common plant known for its colorful appearance
    and its difficult care. Ideal for spaces with no sunlight, the Colorful Zebra Haworthia  
    requires moderate watering, perfect for all plant lovers.","/pixel_plants/TREE 6_SANDY GREEN.png","64"
"Glossy Panda Plant","Succulents","A perennial common plant known for its glossy appearance
    and its simple care. Ideal for spaces with no sunlight, the Glossy Panda Plant  
    requires minimal watering, perfect for some plant lovers.","/pixel_plants/Flower Pot 2 - PURPLE.png","14"
"Giant Lavender","Flowers","A delicate exotic plant known for its giant appearance
    and its low-maintenance care. Ideal for spaces with no sunlight, the Giant Lavender  
    requires moderate watering, perfect for a select few plant lovers.","/pixel_plants/Flower 2 - PURPLE.png","94"
"Frosty Cilantro","Herbs","A chicken-friendly common plant known for its frosty appearance
    and its simple care. Ideal for spaces with direct sunlight, the Frosty Cilantro  
    requires moderate watering, perfect for plenty of plant lovers.","/pixel_plants/Flower 10 - PINK.png","64"
"Vibrant Daffodil","Flowers","An ephemeral rare plant known for its vibrant appearance
    and its effortless care. Ideal for spaces with direct sunlight, the Vibrant Daffodil  
    requires moderate watering, perfect for some plant lovers.","/pixel_plants/Flower Pot 7 - COLORFUL.png","29"
"Fragrant Peony","Flowers","A variegated common plant known for its fragrant appearance
    and its difficult care. Ideal for spaces with full sunlight, the Fragrant Peony  
    requires moderate watering, perfect for plenty of plant lovers.","/pixel_plants/Flower Pot 1 - GREEN.png","19"
"Graceful Orchid","Flowers","An effervescent exotic plant known for its graceful appearance
    and its low-maintenance care. Ideal for spaces with dappled sunlight, the Graceful Orchid  
    requires maximal watering, perfect for many plant lovers.","/pixel_plants/TREE 12_YELLOWISH GREEN.png","22"
"Evergreen Carrot","Fruits and Vegetables","A delicate exotic plant known for its evergreen appearance
    and its labor-intensive care. Ideal for spaces with indirect sunlight, the Evergreen Carrot  
    requires regular watering, perfect for plenty of plant lovers.","/pixel_plants/TREE 11_YELLOWISH GREEN.png","54"
"Spiky Chrysanthemum","Flowers","A poisonous exotic plant known for its spiky appearance
    and its low-maintenance care. Ideal for spaces with indirect sunlight, the Spiky Chrysanthemum  
    requires regular watering, perfect for all plant lovers.","/pixel_plants/TREE 14_TEAL.png","3"
"Classic Daffodil","Flowers","An allergenic common plant known for its classic appearance
    and its labor-intensive care. Ideal for spaces with full sunlight, the Classic Daffodil  
    requires maximal watering, perfect for a select few plant lovers.","/pixel_plants/Flower 10 - PINK.png","74"
"Aromatic Oregano","Herbs","A cat-friendly native plant known for its aromatic appearance
    and its simple care. Ideal for spaces with low sunlight, the Aromatic Oregano  
    requires moderate watering, perfect for plenty of plant lovers.","/pixel_plants/TREE 5_TEAL.png","28"
"Frosty Zebra Haworthia","Succulents","A hypoallergenic native plant known for its frosty appearance
    and its low-maintenance care. Ideal for spaces with full sunlight, the Frosty Zebra Haworthia  
    requires regular watering, perfect for all plant lovers.","/pixel_plants/Flower 4 - PURPLE.png","41"
"Exuberant Marigold","Flowers","A dog-friendly common plant known for its exuberant appearance
    and its labor-intensive care. Ideal for spaces with low sunlight, the Exuberant Marigold  
    requires maximal watering, perfect for plenty of plant lovers.","/pixel_plants/TREE 13_TEAL.png","52"
"Fresh Rosemary","Herbs","A herbaceous tropical plant known for its fresh appearance
    and its simple care. Ideal for spaces with dappled sunlight, the Fresh Rosemary  
    requires minimal watering, perfect for some plant lovers.","/pixel_plants/Flower Pot 2 - PURPLE.png","41"
"Robust Thyme","Herbs","An ephemeral rare plant known for its robust appearance
    and its difficult care. Ideal for spaces with no sunlight, the Robust Thyme  
    requires moderate watering, perfect for some plant lovers.","/pixel_plants/Flower 4 - PINK.png","11"
"Fresh Tomato","Fruits and Vegetables","A drought-resistant tropical plant known for its fresh appearance
    and its labor-intensive care. Ideal for spaces with low sunlight, the Fresh Tomato  
    requires minimal watering, perfect for a select few plant lovers.","/pixel_plants/Flower 1 - TEAL.png","56"
"Thorny Tomato","Fruits and Vegetables","An ephemeral exotic plant known for its thorny appearance
    and its labor-intensive care. Ideal for spaces with indirect sunlight, the Thorny Tomato  
    requires regular watering, perfect for a select few plant lovers.","/pixel_plants/Bush 1 (no flowers) - WARM GREEN.png","75"
"Smooth Tarragon","Herbs","A cat-friendly exotic plant known for its smooth appearance
    and its low-maintenance care. Ideal for spaces with full sunlight, the Smooth Tarragon  
    requires regular watering, perfect for many plant lovers.","/pixel_plants/Flower Pot 1 - RED.png","35"
"Wild Carrot","Fruits and Vegetables","A stunning rare plant known for its wild appearance
    and its simple care. Ideal for spaces with indirect sunlight, the Wild Carrot  
    requires maximal watering, perfect for many plant lovers.","/pixel_plants/Flower 6 - PINK.png","96"
"Dwarf Lithops","Succulents","A resilient tropical plant known for its dwarf appearance
    and its low-maintenance care. Ideal for spaces with direct sunlight, the Dwarf Lithops  
    requires minimal watering, perfect for some plant lovers.","/pixel_plants/Flower Pot 7 - WHITE.png","17"
"Trailing Lithops","Succulents","A cat-friendly common plant known for its trailing appearance
    and its simple care. Ideal for spaces with direct sunlight, the Trailing Lithops  
    requires moderate watering, perfect for many plant lovers.","/pixel_plants/TREE 4_GREEN.png","77"
"Elegant Aloe Vera","Succulents","An effervescent tropical plant known for its elegant appearance
    and its effortless care. Ideal for spaces with low sunlight, the Elegant Aloe Vera  
    requires minimal watering, perfect for many plant lovers.","/pixel_plants/Flower 7 - ORANGE.png","1"
"Golden Tomato","Fruits and Vegetables","A variegated tropical plant known for its golden appearance
    and its labor-intensive care. Ideal for spaces with direct sunlight, the Golden Tomato  
    requires regular watering, perfect for many plant lovers.","/pixel_plants/TREE 13_SANDY GREEN.png","72"
